Categoria: Ciència

Mes,causal entropic forces: (Arreu del món),deep reinforcement learning: (Arreu del món)
2012-07,0,0
2012-08,0,1
2012-09,0,0
2012-10,0,0
2012-11,0,0
2012-12,0,0
2013-01,0,1
2013-02,0,1
2013-03,0,0
2013-04,4,1
2013-05,2,0
2013-06,0,1
2013-07,1,1
2013-08,1,0
2013-09,1,2
2013-10,0,1
2013-11,0,1
2013-12,0,2
2014-01,0,2
2014-02,4,3
2014-03,1,0
2014-04,1,3
2014-05,0,2
2014-06,0,2
2014-07,0,1
2014-08,0,0
2014-09,0,2
2014-10,1,4
2014-11,0,2
2014-12,0,8
2015-01,2,3
2015-02,1,18
2015-03,1,12
2015-04,0,10
2015-05,0,9
2015-06,0,14
2015-07,0,9
2015-08,0,7
2015-09,0,15
2015-10,0,8
2015-11,0,17
2015-12,0,16
2016-01,0,17
2016-02,0,20
2016-03,0,29
2016-04,0,26
2016-05,0,22
2016-06,0,32
2016-07,0,24
2016-08,0,25
2016-09,0,32
2016-10,0,35
2016-11,0,49
2016-12,1,53
2017-01,0,50
2017-02,1,59
2017-03,0,62
2017-04,1,62
2017-05,0,66
2017-06,0,52
2017-07,1,56
2017-08,0,69
2017-09,0,75
2017-10,0,81
2017-11,1,84
2017-12,0,88
2018-01,0,71
2018-02,2,71
2018-03,0,76
2018-04,0,86
2018-05,0,100
2018-06,0,91
2018-07,0,70
